"100","[4\110\191]","","","","","","","","","","","[4\110\191]",""
"100","=D2&"" ""","","1","Resource Drift 1","Dwarf","L-Class Dwarf","Gargantuan-1","Solar","N/A","N/A","N/A","[3/3/3]",""
"101","=D3&"" I""","","1","Resource Drift 1","Terrestrial Planet","Swamp","Large","Cool","Type II","Thin","Lacustrine","[1/6/5]","Megafauna"
"102","=D4&"" II""","","1","Resource Drift 1","Gas Giant","Gas Giant","Enormous","Cold","Type III","Crushing","N/A","[2/2/2]",""
"103","=D5&"" IIa""","","1","Resource Drift 1","Ring","Ring","Small","Cold","Type IV","None","N/A","[0/6/2]",""
"104","=D6&"" IIb""","","1","Resource Drift 1","Moon","Alpine","Tiny","Cold","Type I","Trace","Desertic","[1/4/4]",""
"105","=D7&"" IIc""","","1","Resource Drift 1","Moon","Barren","Tiny","Cold","Type II","Trace","Desertic","[0/3/4]",""
"106","=D8&"" IId""","","1","Resource Drift 1","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/8/5]",""
"107","=D9&"" IIe""","","1","Resource Drift 1","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/4/4]",""
"108","=D10&"" III""","","1","Resource Drift 1","Gas Giant","Ice Giant","Huge","Hyperborean","Type III","Crushing","N/A","[0/0/3]",""
"109","=D11&"" IIIa""","","1","Resource Drift 1","Ring","Ring","Small","Hyperborean","Type IV","None","N/A","[0/3/2]",""
"110","=D12&"" IIIb""","","1","Resource Drift 1","Ring","Ring","Small","Hyperborean","Type IV","None","N/A","[0/3/2]",""
"111","=D13&"" IIIc""","","1","Resource Drift 1","Moon","Barren","Tiny","Hyperborean","Type IV","None","Airless","[0/5/7]",""
"112","=D14&"" IIId""","","1","Resource Drift 1","Moon","Barren","Small","Hyperborean","Type III","Thin","Desertic","[0/6/4]",""
"113","=D15&"" IV""","","1","Resource Drift 1","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/1/7]",""
"114","=D16&"" IVa""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type II","Dense","Thalassic","[0/0/8]",""
"115","=D17&"" IVb""","","1","Resource Drift 1","Ring","Ring","Tiny","Stygian","Type IV","None","N/A","[0/4/7]",""
"116","=D18&"" IVc""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type III","Standard","Abyssal","[0/1/8]",""
"117","=D19&"" IVd""","","1","Resource Drift 1","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/5/7]",""
"118","=D20&"" IVe""","","1","Resource Drift 1","Arc","Arc","Small","Stygian","Type IV","None","N/A","[0/2/8]",""
"119","=D21&"" IVf""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type III","Thin","Thalassic","[0/0/9]",""
"120","=D22&"" V""","","1","Resource Drift 1","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/1/7]",""
"121","=D23&"" Va""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type III","Trace","Desertic","[0/4/5]",""
"122","=D24&"" Vb""","","1","Resource Drift 1","Arc","Arc","Tiny","Stygian","Type IV","None","N/A","[0/0/8]",""
"123","=D25&"" Vc""","","1","Resource Drift 1","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/7/9]","Ancient Ruins (FTL)"
"124","=D26&"" Vd""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/2/4]",""
"125","=D27&"" Ve""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type II","Thin","Desertic","[0/7/9]",""
"126","=D28&"" Vf""","","1","Resource Drift 1","Moon","Barren","Tiny","Stygian","Type IV","None","Airless","[0/5/4]",""
"127","=D29&"" VI""","","1","Resource Drift 1","Terrestrial Planet","Frozen","Small","Stygian","Type II","Thin","Lacustrine","[0/5/8]",""
"128","=D30&"" VII""","","1","Resource Drift 1","Gas Giant","Ice Giant","Huge","Stygian","Type III","Crushing","N/A","[0/3/6]",""
"129","=D31&"" VIIa""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type III","Thin","Lacustrine","[0/2/9]",""
"130","=D32&"" VIIb""","","1","Resource Drift 1","Moon","Barren","Tiny","Stygian","Type III","Trace","Desertic","[0/4/9]",""
"131","=D33&"" VIIc""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type II","Trace","Desertic","[0/5/8]",""
"132","=D34&"" VIId""","","1","Resource Drift 1","Moon","Barren","Small","Stygian","Type IV","None","Airless","[0/2/7]",""
,,,,,,,,,,,,,
"200","[0\61\29]","","","","","","","","","","","[0\61\29]",""
"200","=D37&"" ""","","2","Resource Drift 1","Main Sequence","A-Class Star","Gargantuan","Solar","N/A","N/A","N/A","[3/3/3]","Ds"
"201","=D38&"" I""","","2","Resource Drift 1","Gas Giant","Silicate Giant","Huge","Inferno","Type III","Crushing","N/A","[0/3/0]",""
"202","=D39&"" Ia""","","2","Resource Drift 1","Ring","Ring","Tiny","Inferno","Type IV","None","N/A","[0/6/0]",""
"203","=D40&"" Ib""","","2","Resource Drift 1","Moon","Scorched","Small","Inferno","Type II","Trace","Desertic","[0/5/5]",""
"204","=D41&"" Ic""","","2","Resource Drift 1","Moon","Scorched","Tiny","Inferno","Type II","Trace","Marine","[0/3/5]",""
"205","=D42&"" II""","","2","Resource Drift 1","Asteroid Belt","Asteroid Belt","Small","Cool","Type IV","None","N/A","[0/13/0]",""
"206","=D43&"" III""","","2","Resource Drift 1","Gas Giant","Gas Giant","Enormous","Cold","Type I","Crushing","N/A","[0/2/3]",""
"207","=D44&"" IIIa""","","2","Resource Drift 1","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/3/4]",""
"208","=D45&"" IIIb""","","2","Resource Drift 1","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/4/2]",""
"209","=D46&"" IIIc""","","2","Resource Drift 1","Ring","Ring","Tiny","Cold","Type IV","None","N/A","[0/4/1]",""
"210","=D47&"" IIId""","","2","Resource Drift 1","Moon","Barren","Tiny","Cold","Type IV","None","Airless","[0/3/1]",""
